bin_index,qvcenter,EX_RL,RL,EX_RT,RT,nu_RL,nu_RT
2,0.167,0.024378,0.0455112,0.025817,0.0119412,0.025596189,0.02703181
2,0.167,0.024586,0.0432684,0.025978,0.0125892,0.025803712,0.02719242
2,0.167,0.024736,0.0434196,0.026146,0.0126792,0.025953365,0.027360011
2,0.167,0.024882,0.0445644,0.026298,0.0128376,0.026099026,0.027511639
2,0.167,0.025041,0.0458244,0.026473,0.013176,0.026257655,0.027686208
2,0.167,0.025202,0.0471708,0.026645,0.0136188,0.026418276,0.027857782
2,0.167,0.025375,0.0488196,0.026819,0.0149292,0.026590867,0.028031348
2,0.167,0.025541,0.0498708,0.026996,0.0156744,0.026756472,0.028207903
2,0.167,0.025701,0.0502128,0.02716,0.015264,0.026916089,0.028371489
2,0.167,0.025845,0.049698,0.027314,0.0148608,0.027059742,0.028525099
2,0.167,0.026,0.0487224,0.027487,0.0144576,0.027214367,0.028697657
2,0.167,0.026192,0.047898,0.027653,0.0152676,0.027405899,0.028863231
2,0.167,0.02637,0.0478944,0.027836,0.0158616,0.027583462,0.029045758
2,0.167,0.026592,0.0470196,0.028027,0.0148032,0.027804913,0.029236261
2,0.167,0.026769,0.0453672,0.028195,0.0131904,0.027981473,0.029403822
2,0.167,0.026965,0.0435348,0.028328,0.0111708,0.028176981,0.029536472
2,0.167,0.027173,0.0420984,0.028382,0.0121032,0.028384457,0.029590329
2,0.167,0.027376,0.0412884,0.028529,0.0119412,0.028586941,0.02973694
2,0.167,0.027574,0.0396252,0.028685,0.0122256,0.028784434,0.029892525
2,0.167,0.027763,0.0378468,0.028858,0.0124956,0.028972947,0.030065063
2,0.167,0.027902,0.039024,0.029031,0.0124884,0.029111586,0.030237597
2,0.167,0.028065,0.0403344,0.029211,0.0125964,0.029274162,0.03041711
2,0.167,0.028225,0.0417564,0.029413,0.0113256,0.029433743,0.03061856
2,0.167,0.028389,0.0428544,0.029566,0.0116136,0.029597311,0.030771141
2,0.167,0.028558,0.04248,0.029711,0.011412,0.029765863,0.030915742
2,0.167,0.028771,0.041868,0.029873,0.0111096,0.029978296,0.031077294
2,0.167,0.028982,0.041814,0.030042,0.01134,0.030188729,0.031245824
2,0.167,0.029194,0.0406656,0.030227,0.011538,0.030400156,0.031430307
2,0.167,0.029366,0.041274,0.03042,0.011646,0.030571688,0.031622764
2,0.167,0.029545,0.0402624,0.030585,0.0114984,0.030750199,0.031787298
2,0.167,0.029686,0.0407124,0.03077,0.0113652,0.030890811,0.031971772
2,0.167,0.029821,0.0409932,0.03092,0.011124,0.031025438,0.032121343
2,0.167,0.029996,0.0397476,0.031078,0.010872,0.031199953,0.032278889
2,0.167,0.030178,0.0391428,0.031239,0.0111132,0.031381444,0.032439424
2,0.167,0.030388,0.0386784,0.031429,0.0113688,0.031590855,0.032628873
2,0.167,0.030563,0.0380124,0.031616,0.0115272,0.03176536,0.032815327
2,0.167,0.030766,0.038358,0.03181,0.0115632,0.031967783,0.033008757
2,0.167,0.030972,0.0378576,0.031984,0.0116136,0.032173194,0.033182244
2,0.167,0.03118,0.0358452,0.032139,0.012024,0.032380595,0.033336784
2,0.167,0.031388,0.0344664,0.032303,0.011952,0.032587992,0.033500295
