qv,q2,ex,nu,W2,RLTOT,RTTOT
2.783,0.87944,2.61181,2.62024,4.917917113569,-19991.491163885537,1961.7640695673977
2.783,0.8742,2.61286,2.62124,4.925033659568999,-20969.69610292694,2053.331409974096
2.783,0.86895,2.61391,2.62224,4.932160205569,-21987.626557584197,2148.7548397408505
2.783,0.86371,2.61496,2.62324,4.9392767515689995,-23045.703797891198,2247.7847623466146
2.783,0.85846,2.61601,2.62424,4.946403297569,-24146.22374001998,2350.7180636182657
2.783,0.85321,2.61706,2.62524,4.953529843569,-25290.082251878626,2457.7421757100133
2.783,0.84796,2.61811,2.62624,4.9606563895689995,-26479.669483337777,2568.8834225456276
2.783,0.84271,2.61916,2.62724,4.967782935569,-27714.41118805102,2684.171321609121
2.783,0.83745,2.62021,2.62824,4.974919481569,-28998.605737508395,2804.1091407724402
2.783,0.83219,2.62126,2.62924,4.9820560275690005,-30332.055882001572,2928.5753495283807
2.783,0.82693,2.62231,2.63024,4.989192573569,-31717.304927284484,3057.7099778793254
2.783,0.82167,2.62336,2.63124,4.996329119569,-33153.934856021726,3191.5565568009974
2.783,0.81641,2.62441,2.63224,5.003465665569,-34644.567071213714,3330.4621243342867
2.783,0.81114,2.62546,2.63324,5.010612211569001,-36193.07252538666,3474.68205701482
2.783,0.80588,2.62651,2.63424,5.0177487575690005,-37796.81658706614,3623.9686440469363
2.783,0.80061,2.62756,2.63524,5.024895303569001,-39462.0489362758,3778.8973426858797
2.783,0.79534,2.62862,2.63624,5.0320418495690005,-41188.35457464076,3939.4259052234243
2.783,0.79006,2.62967,2.63724,5.039198395568999,-42980.122808934,4105.95683885714
2.783,0.78479,2.63072,2.63824,5.046344941569001,-44834.22524765821,4278.196703585707
2.783,0.77951,2.63177,2.63924,5.053501487568999,-46757.78973921342,4456.801048298558
2.783,0.77423,2.63282,2.64024,5.060658033568999,-48750.246902398234,4641.813023731363
2.783,0.76895,2.63387,2.64124,5.067814579568999,-50812.62587384429,4833.216095269944
2.783,0.76366,2.63492,2.64224,5.074981125569,-52952.04389092067,5031.57886252922
2.783,0.75838,2.63597,2.64324,5.082137671569,-55163.65339316161,5236.541482393625
2.783,0.75309,2.63702,2.64424,5.0893042175689995,-57455.82319499095,5448.9725103049495
2.783,0.7478,2.63807,2.64524,5.096470763569,-59826.7492868118,5668.593023035722
2.783,0.74251,2.63912,2.64624,5.103637309569,-62280.719647262245,5895.709560304228
2.783,0.73722,2.64017,2.64724,5.110803855569,-64818.07510171831,6130.633380669356
2.783,0.73192,2.64122,2.64824,5.1179804015690005,-67446.93786851689,6373.724199179514
2.783,0.72662,2.64227,2.64924,5.125156947569,-70164.28239610791,6625.082338237529
2.783,0.72133,2.64332,2.65024,5.132323493569,-72970.64042353258,6884.367586661689
2.783,0.71602,2.64438,2.65124,5.139510039569,-75878.53667734563,7153.113037960837
2.783,0.71072,2.64543,2.65224,5.146686585569,-78879.64998435974,7430.3546059652235
2.783,0.70541,2.64648,2.65324,5.153873131569001,-81986.05035366863,7717.006322723488
2.783,0.70011,2.64753,2.65424,5.161049677569,-85189.84034454077,8012.519808350131
2.783,0.6948,2.64858,2.65524,5.168236223569001,-88503.77645338699,8318.671392252203
2.783,0.68949,2.64963,2.65624,5.175422769569001,-91926.3479064405,8633.716179271694
2.783,0.68417,2.65068,2.65724,5.182619315568999,-95465.50475818291,8960.379283038666
2.783,0.67886,2.65173,2.65824,5.189805861569001,-99114.42020083219,9297.027110977564
2.783,0.67354,2.65278,2.65924,5.197002407568999,-102886.34632636234,9643.871596382
2.783,0.66822,2.65383,2.66024,5.204198953569,-106779.44179929793,10002.737147241132
2.783,0.6629,2.65488,2.66124,5.211395499568999,-110796.93477261811,10371.91396875307
2.783,0.65758,2.65594,2.66224,5.218592045568999,-114941.12298050895,10753.698443901027
2.783,0.65225,2.65699,2.66324,5.225798591568999,-119223.41394407675,11147.947337617865
2.783,0.64692,2.65804,2.66424,5.233005137569,-123639.58798714727,11553.45001683035
2.783,0.64159,2.65909,2.66524,5.240211683569,-128195.17349080369,11972.523350099334
2.783,0.63626,2.66014,2.66624,5.247418229569,-132891.77360365912,12403.490838401718
2.783,0.63093,2.66119,2.66724,5.254624775569,-137735.06747015193,12848.68272318854
2.783,0.62559,2.66224,2.66824,5.261841321569,-142733.84931223467,13308.08086766908
2.783,0.62025,2.66329,2.66924,5.269057867569,-147886.34730891883,13780.423655949067
2.783,0.61492,2.66434,2.67024,5.276264413569001,-153189.01789038628,14267.37929496076
2.783,0.60957,2.6654,2.67124,5.283490959569001,-158668.2980266735,14770.360804702155
2.783,0.60423,2.66645,2.67224,5.290707505569,-164305.8590463549,15286.682167661376
2.783,0.59889,2.6675,2.67324,5.297924051569001,-170113.35547597334,15819.402412016178
2.783,0.59354,2.66855,2.67424,5.305150597569001,-176103.4699086547,16368.67354930425
2.783,0.58819,2.6696,2.67524,5.312377143569001,-182271.63861893117,16933.16107766307
2.783,0.58284,2.67065,2.67624,5.319603689569001,-188624.32080582157,17515.264392180135
2.783,0.57748,2.6717,2.67724,5.326840235569,-195173.2548334822,18115.230537739117
2.783,0.57213,2.67275,2.67824,5.3340667815690015,-201906.97370379418,18730.820096011506
2.783,0.56677,2.67381,2.67924,5.341303327569001,-208846.87297391146,19366.161763993558
2.783,0.56141,2.67486,2.68024,5.348539873568999,-215989.61254656687,20019.849777672905
2.783,0.55605,2.67591,2.68124,5.355776419569,-223340.1378287971,20692.326577392872
2.783,0.55069,2.67696,2.68224,5.363012965568999,-230903.49226342142,21383.043274674565
2.783,0.54532,2.67801,2.68324,5.3702595115689995,-238694.73179852962,22095.455336163985
2.783,0.53995,2.67906,2.68424,5.377506057569,-246710.81227195635,22828.092500118306
2.783,0.53458,2.68011,2.68524,5.384752603569,-254956.1028261669,23581.43469610531
2.783,0.52921,2.68117,2.68624,5.391999149569,-263435.07740449905,24354.97111641057
2.783,0.52384,2.68222,2.68724,5.399245695569,-272154.3163541518,25151.20035473886
2.783,0.51846,2.68327,2.68824,5.406502241569,-281132.06058588624,25970.774153860984
2.783,0.51309,2.68432,2.68924,5.413748787569,-290349.35447220504,26811.954843267333
2.783,0.50771,2.68537,2.69024,5.421005333569,-299837.58087301254,27676.590516253375
2.783,0.50232,2.68642,2.69124,5.428271879569,-309602.86808989197,28567.318554153666
