Z,A,E0,ThetaDeg,nu,cross,error,dataSet
26,56,2.015,35.51,0.5521,843,7.11,Arrington:1995hs
26,56,2.015,35.51,0.5618,890,6.06,Arrington:1995hs
26,56,2.015,35.51,0.5729,987,6.28,Arrington:1995hs
26,56,2.015,35.51,0.5839,1090,6.71,Arrington:1995hs
26,56,2.015,35.51,0.595,1110,6.66,Arrington:1995hs
26,56,2.015,35.51,0.6061,1170,6.84,Arrington:1995hs
26,56,2.015,35.51,0.6172,1160,6.72,Arrington:1995hs
26,56,2.015,35.51,0.6282,1220,6.99,Arrington:1995hs
26,56,2.015,35.51,0.6393,1260,7.09,Arrington:1995hs
26,56,2.015,35.51,0.6504,1260,7,Arrington:1995hs
26,56,2.015,35.51,0.6614,1300,7.16,Arrington:1995hs
26,56,2.015,35.51,0.6725,1390,7.7,Arrington:1995hs
26,56,2.015,35.51,0.6836,1420,8.31,Arrington:1995hs
26,56,2.015,35.51,0.6947,1500,9.48,Arrington:1995hs
26,56,3.188,47.68,1.6345,5.61,0.115,Arrington:1995hs
26,56,3.188,47.68,1.6448,6.51,0.105,Arrington:1995hs
26,56,3.188,47.68,1.6566,7.18,0.109,Arrington:1995hs
26,56,3.188,47.68,1.6683,8.33,0.116,Arrington:1995hs
26,56,3.188,47.68,1.6801,8.83,0.12,Arrington:1995hs
26,56,3.188,47.68,1.6918,9.97,0.127,Arrington:1995hs
26,56,3.188,47.68,1.7036,10.5,0.131,Arrington:1995hs
26,56,3.188,47.68,1.7154,11.3,0.134,Arrington:1995hs
26,56,3.188,47.68,1.7271,12.5,0.142,Arrington:1995hs
26,56,3.188,47.68,1.7389,13.3,0.145,Arrington:1995hs
26,56,3.188,47.68,1.7506,14.8,0.154,Arrington:1995hs
26,56,3.188,47.68,1.7624,16.1,0.164,Arrington:1995hs
26,56,3.188,47.68,1.7741,17.7,0.18,Arrington:1995hs
26,56,3.188,47.68,1.7859,19.2,0.198,Arrington:1995hs
26,56,4.212,53.39,2.6586,0.528,0.0251,Arrington:1995hs
26,56,4.212,53.39,2.6689,0.593,0.0224,Arrington:1995hs
26,56,4.212,53.39,2.6807,0.675,0.0235,Arrington:1995hs
26,56,4.212,53.39,2.6924,0.798,0.0256,Arrington:1995hs
26,56,4.212,53.39,2.7042,0.929,0.0276,Arrington:1995hs
26,56,4.212,53.39,2.7159,1.03,0.0292,Arrington:1995hs
26,56,4.212,53.39,2.7277,1.17,0.0309,Arrington:1995hs
26,56,4.212,53.39,2.7395,1.29,0.0325,Arrington:1995hs
26,56,4.212,53.39,2.7512,1.39,0.0336,Arrington:1995hs
26,56,4.212,53.39,2.763,1.56,0.0355,Arrington:1995hs
26,56,4.212,53.39,2.7747,1.72,0.037,Arrington:1995hs
26,56,4.212,53.39,2.7865,1.93,0.0399,Arrington:1995hs
26,56,4.212,53.39,2.7982,2.1,0.0429,Arrington:1995hs
26,56,4.212,53.39,2.81,2.4,0.0473,Arrington:1995hs
26,56,5.12,56.64,3.5669,0.147,0.00663,Arrington:1995hs
26,56,5.12,56.64,3.5772,0.153,0.00566,Arrington:1995hs
26,56,5.12,56.64,3.589,0.167,0.00585,Arrington:1995hs
26,56,5.12,56.64,3.6007,0.212,0.00668,Arrington:1995hs
26,56,5.12,56.64,3.6125,0.26,0.00748,Arrington:1995hs
26,56,5.12,56.64,3.6243,0.302,0.00803,Arrington:1995hs
26,56,5.12,56.64,3.636,0.299,0.00789,Arrington:1995hs
26,56,5.12,56.64,3.6478,0.362,0.00862,Arrington:1995hs
26,56,5.12,56.64,3.6595,0.39,0.00887,Arrington:1995hs
26,56,5.12,56.64,3.6713,0.415,0.00905,Arrington:1995hs
26,56,5.12,56.64,3.683,0.466,0.00961,Arrington:1995hs
26,56,5.12,56.64,3.6948,0.555,0.0108,Arrington:1995hs
26,56,5.12,56.64,3.7065,0.608,0.0116,Arrington:1995hs
26,56,5.12,56.64,3.7183,0.727,0.0134,Arrington:1995hs
26,56,4.045,15,0.045,0.319,0.199,Arrington:1998ps
26,56,4.045,15,0.06,0.753,0.331,Arrington:1998ps
26,56,4.045,15,0.075,2.38,0.658,Arrington:1998ps
26,56,4.045,15,0.09,4.41,0.983,Arrington:1998ps
26,56,4.045,15,0.105,12.2,1.75,Arrington:1998ps
26,56,4.045,15,0.12,19.9,2.33,Arrington:1998ps
26,56,4.045,15,0.135,36.7,3.2,Arrington:1998ps
26,56,4.045,15,0.15,55.8,3.95,Arrington:1998ps
26,56,4.045,15,0.165,74.2,4.54,Arrington:1998ps
26,56,4.045,15,0.18,109,5.45,Arrington:1998ps
26,56,4.045,15,0.195,148,6.25,Arrington:1998ps
26,56,4.045,15,0.21,201,7.21,Arrington:1998ps
26,56,4.045,15,0.225,275,8.37,Arrington:1998ps
26,56,4.045,15,0.24,359,9.59,Arrington:1998ps
26,56,4.045,15,0.255,476,11,Arrington:1998ps
26,56,4.045,15,0.27,650,12.8,Arrington:1998ps
26,56,4.045,15,0.285,810,14.3,Arrington:1998ps
26,56,4.045,15,0.3,1080,16.5,Arrington:1998ps
26,56,4.045,15,0.315,1390,18.7,Arrington:1998ps
26,56,4.045,15,0.33,1780,20.9,Arrington:1998ps
26,56,4.045,15,0.345,2150,22.6,Arrington:1998ps
26,56,4.045,15,0.36,2780,25.9,Arrington:1998ps
26,56,4.045,15,0.375,3430,29.1,Arrington:1998ps
26,56,4.045,15,0.39,4280,32.9,Arrington:1998ps
26,56,4.045,15,0.405,4990,35.4,Arrington:1998ps
26,56,4.045,15,0.42,5700,37.6,Arrington:1998ps
26,56,4.045,15,0.435,6440,39.9,Arrington:1998ps
26,56,4.045,15,0.45,7090,41.1,Arrington:1998ps
26,56,4.045,15,0.465,7480,41.9,Arrington:1998ps
26,56,4.045,15,0.48,8100,42.1,Arrington:1998ps
26,56,4.045,15,0.495,8260,42.1,Arrington:1998ps
26,56,4.045,15,0.51,8680,43.4,Arrington:1998ps
26,56,4.045,15,0.525,9010,44.2,Arrington:1998ps
26,56,4.045,15,0.54,9140,43.9,Arrington:1998ps
26,56,4.045,15,0.555,9210,44.2,Arrington:1998ps
26,56,4.045,15,0.57,9250,43.5,Arrington:1998ps
